,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
165,1,G.I. Joe: The Rise of Cobra,Par.,150201498,4007,54713046,4007,8/7/09,G.I. Joe,2009
166,2,G.I. Joe: Retaliation,Par.,122523060,3734,40501814,3719,3/28/13,G.I. Joe,2013
167,1,Ghostbusters,Col.,229242989,1506,13578151,1339,6/8/84,Ghostbusters,1984
168,2,Ghostbusters (2016),Sony,128350574,3963,46018755,3963,7/15/16,Ghostbusters,2016
169,3,Ghostbusters II,Col.,112494738,2410,29472894,2410,6/16/89,Ghostbusters,1989
170,1,The Godfather,Par.,133698921,0,302393,6,3/15/72,The Godfather,1972
171,2,The Godfather Part III,Par.,66666062,1922,19558558,1901,12/25/90,The Godfather,1990
172,3,The Godfather Part II,Par.,47542841,0,0,0,12/12/74,The Godfather,1974
173,1,Godzilla (2014),WB,200676069,3952,93188384,3952,5/16/14,Godzilla,2014
174,2,Godzilla,Sony,136314294,3310,44047541,3310,5/20/98,Godzilla,1998
175,3,Godzilla 2000,Sony,10037390,2111,4407720,2111,8/18/00,Godzilla,2000
176,4,Godzilla 1985,NW,4116395,235,509502,235,8/23/85,Godzilla,1985
177,5,Shin Godzilla,FUN,1918403,490,458342,34,10/11/16,Godzilla,2016
178,6,Godzilla (Original Japanese Version),Rialto,412520,6,38030,2,5/7/04,Godzilla,2004
179,1,Godzilla (2014),WB,200676069,3952,93188384,3952,5/16/14,Godzilla and Kong Universe,2014
180,2,Kong: Skull Island,WB,168052812,3846,61025472,3846,3/10/17,Godzilla and Kong Universe,2017
181,1,Grown Ups,Sony,162001186,3534,40506562,3534,6/25/10,Grown Ups,2010
182,2,Grown Ups 2,Sony,133668525,3491,41508572,3491,7/12/13,Grown Ups,2013
183,1,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5/17,Guardians of the Galaxy,2017
184,2,Guardians of the Galaxy,BV,333176600,4088,94320883,4080,8/1/14,Guardians of the Galaxy,2014
185,1,The Hangover,WB,277322503,3545,44979319,3269,6/5/09,The Hangover,2009
186,2,The Hangover Part II,WB,254464305,3675,85946294,3615,5/26/11,The Hangover,2011
187,3,The Hangover Part III,WB,112200072,3565,41671198,3555,5/23/13,The Hangover,2013
188,1,Hannibal,MGM,165092268,3292,58003121,3230,2/9/01,Hannibal Lecter,2001
189,2,The Silence of the Lambs,Orion,130742922,1642,13766814,1497,2/14/91,Hannibal Lecter,1991
190,3,Red Dragon,Uni.,93149898,3363,36540945,3357,10/4/02,Hannibal Lecter,2002
191,4,Hannibal Rising,MGM/W,27670986,3003,13051650,3003,2/9/07,Hannibal Lecter,2007
192,5,Manhunter,DEG,8620929,779,2204400,779,8/15/86,Hannibal Lecter,1986
193,1,Harry Potter and the Deathly Hallows Part 2,WB,381011219,4375,169189427,4375,7/15/11,Harry Potter,2011
194,2,Harry Potter and the Sorcerer's Stone,WB,317575550,3672,90294621,3672,11/16/01,Harry Potter,2001
195,3,Harry Potter and the Half-Blood Prince,WB,301959197,4455,77835727,4325,7/15/09,Harry Potter,2009
196,4,Harry Potter and the Deathly Hallows Part 1,WB,295983305,4125,125017372,4125,11/19/10,Harry Potter,2010
197,5,Harry Potter and the Order of the Phoenix,WB,292004738,4285,77108414,4285,7/11/07,Harry Potter,2007
198,6,Harry Potter and the Goblet of Fire,WB,290013036,3858,102685961,3858,11/18/05,Harry Potter,2005
199,7,Harry Potter and the Chamber of Secrets,WB,261988482,3682,88357488,3682,11/15/02,Harry Potter,2002
200,8,Harry Potter and the Prisoner of Azkaban,WB,249541069,3855,93687367,3855,6/4/04,Harry Potter,2004
