,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year,Imdb Year,Imdb Rating,Meta Score
193,1,Kung Fu Panda,P/DW,215434591,4136,60239130,4114,6/6/08,Kung Fu Panda,2008,2008,7.6,73
194,2,Kung Fu Panda 2,P/DW,165249063,3952,47656302,3925,5/26/11,Kung Fu Panda,2011,2011,7.3,67
195,3,Kung Fu Panda 3,Fox,143528619,3987,41282042,3955,1/29/16,Kung Fu Panda,2016,2016,7.1,66
196,1,The LEGO Movie,WB,257760692,3890,69050279,3775,2/7/14,LEGO,2014,2014,7.8,83
197,2,The LEGO Batman Movie,WB,175750384,4088,53003468,4088,2/10/17,LEGO,2017,2017,7.3,75
198,3,The LEGO Ninjago Movie,WB,59281555,4047,20433071,4047,9/22/17,LEGO,2017,2017,6.0,55
199,1,Lethal Weapon 2,WB,147253986,1830,20388800,1803,7/7/89,Lethal Weapon,1989,1989,7.2,70
200,2,Lethal Weapon 3,WB,144731527,2568,33243086,2510,5/15/92,Lethal Weapon,1992,1992,6.7,36
201,3,Lethal Weapon 4,WB,130444603,3117,34048124,3117,7/10/98,Lethal Weapon,1998,1998,6.6,37
202,4,Lethal Weapon,WB,65207127,1420,6829949,1256,3/6/87,Lethal Weapon,1987,2016,7.6,67
203,1,The Lord of the Rings: The Return of the King,NL,377027325,3703,72629713,3703,12/17/03,The Lord of the Rings,2003,2003,8.9,94
204,2,The Lord of the Rings: The Two Towers,NL,339789881,3622,62007528,3622,12/18/02,The Lord of the Rings,2002,2002,8.7,87
205,3,The Lord of the Rings: The Fellowship of the Ring,NL,313364114,3381,47211490,3359,12/19/01,The Lord of the Rings,2001,2001,8.8,92
206,4,The Lord of the Rings (1978),UA,30471420,31,626649,31,11/15/78,The Lord of the Rings,1978,1978,6.2,0
207,1,Madagascar 3: Europe's Most Wanted,P/DW,216391482,4263,60316738,4258,6/8/12,Madagascar,2012,2012,6.9,60
208,2,Madagascar,DW,193595521,4142,47224594,4131,5/27/05,Madagascar,2005,2005,6.9,57
209,3,Madagascar: Escape 2 Africa,P/DW,180010950,4065,63106589,4056,11/7/08,Madagascar,2008,2008,6.7,61
210,4,Penguins of Madagascar,Fox,83350911,3775,25447444,3764,11/26/14,Madagascar,2014,2014,6.7,53
211,1,Black Panther,BV,699822507,4084,202003951,4020,2/16/18,Marvel Cinematic Universe,2018,2018,7.5,88
212,2,Avengers: Infinity War,BV,672913479,4474,257698183,4474,4/27/18,Marvel Cinematic Universe,2018,2018,8.7,68
213,3,Marvel's The Avengers,BV,623357910,4349,207438708,4349,5/4/12,Marvel Cinematic Universe,2012,2012,8.1,69
